yaml_file	total_tokens	protein_length	rna_length	dna_length	ligand_count	elapsed_seconds	memory_used_mb	memory_total_mb	memory_percent	gpu_util	temperature	success	job_runtime_seconds
gr24_Q3E870.yaml	100	100	0	0	1	45.294	557	81920	0.68	37	40	True	81.61
gr24_Q3E870.yaml	100	100	0	0	1	45.813	557	81920	0.68	0	40	True	81.61
gr24_Q3E870.yaml	100	100	0	0	1	46.342	557	81920	0.68	0	39	True	81.61
gr24_Q3E870.yaml	100	100	0	0	1	46.871	557	81920	0.68	0	39	True	81.61
gr24_Q3E870.yaml	100	100	0	0	1	47.397	557	81920	0.68	0	39	True	81.61
gr24_Q3E870.yaml	100	100	0	0	1	47.92	557	81920	0.68	0	39	True	81.61
gr24_Q3E870.yaml	100	100	0	0	1	48.446	557	81920	0.68	0	39	True	81.61
gr24_Q3E870.yaml	100	100	0	0	1	48.972	557	81920	0.68	0	38	True	81.61
gr24_Q3E870.yaml	100	100	0	0	1	49.5	557	81920	0.68	0	38	True	81.61
gr24_Q3E870.yaml	100	100	0	0	1	50.023	557	81920	0.68	0	38	True	81.61
gr24_Q3E870.yaml	100	100	0	0	1	50.54	557	81920	0.68	0	38	True	81.61
gr24_Q3E870.yaml	100	100	0	0	1	51.058	557	81920	0.68	0	38	True	81.61
gr24_Q3E870.yaml	100	100	0	0	1	51.575	557	81920	0.68	0	38	True	81.61
gr24_Q3E870.yaml	100	100	0	0	1	52.093	557	81920	0.68	0	38	True	81.61
gr24_Q3E870.yaml	100	100	0	0	1	52.61	557	81920	0.68	0	38	True	81.61
gr24_Q3E870.yaml	100	100	0	0	1	53.128	557	81920	0.68	0	38	True	81.61
gr24_Q3E870.yaml	100	100	0	0	1	53.656	557	81920	0.68	0	38	True	81.61
gr24_Q3E870.yaml	100	100	0	0	1	54.177	557	81920	0.68	0	38	True	81.61
gr24_Q3E870.yaml	100	100	0	0	1	54.706	557	81920	0.68	0	38	True	81.61
gr24_Q3E870.yaml	100	100	0	0	1	55.229	557	81920	0.68	0	38	True	81.61
gr24_Q3E870.yaml	100	100	0	0	1	55.749	557	81920	0.68	0	38	True	81.61
gr24_Q3E870.yaml	100	100	0	0	1	56.267	557	81920	0.68	0	38	True	81.61
gr24_Q3E870.yaml	100	100	0	0	1	56.785	557	81920	0.68	0	38	True	81.61
gr24_Q3E870.yaml	100	100	0	0	1	57.304	557	81920	0.68	0	38	True	81.61
gr24_Q3E870.yaml	100	100	0	0	1	57.821	557	81920	0.68	0	38	True	81.61
gr24_Q3E870.yaml	100	100	0	0	1	58.338	557	81920	0.68	0	38	True	81.61
gr24_Q3E870.yaml	100	100	0	0	1	58.867	557	81920	0.68	0	38	True	81.61
gr24_Q3E870.yaml	100	100	0	0	1	59.386	557	81920	0.68	0	38	True	81.61
gr24_Q3E870.yaml	100	100	0	0	1	59.904	557	81920	0.68	0	38	True	81.61
gr24_Q3E870.yaml	100	100	0	0	1	60.428	557	81920	0.68	0	38	True	81.61
gr24_Q3E870.yaml	100	100	0	0	1	60.96	557	81920	0.68	0	37	True	81.61
gr24_Q3E870.yaml	100	100	0	0	1	61.481	557	81920	0.68	0	37	True	81.61
